[ 17:30:13 180.159.97.241 run  数据抓取] 安庆2016-03-22:111 [3440]
[ 17:30:14 180.159.97.241 run  数据抓取] 亳州2016-03-22:111 [3440]
[ 17:30:14 180.159.97.241 run  数据抓取] 砀山2016-03-22:111 [3440]
[ 17:30:15 180.159.97.241 run  数据抓取] 合肥周谷堆2016-03-22:111 [3440]
[ 17:30:16 180.159.97.241 run  数据抓取] 和县2016-03-22:111 [3440]
[ 17:30:17 180.159.97.241 run  数据抓取] 淮北2016-03-22:111 [3440]
[ 17:30:17 180.159.97.241 run  数据抓取] 六安紫竹林2016-03-22:111 [3440]
[ 17:30:19 180.159.97.241 run  数据抓取] 马鞍山安民2016-03-22:111 [3440]
[ 17:30:20 180.159.97.241 run  数据抓取] 宿州南关2016-03-22:111 [3440]
[ 17:30:20 180.159.97.241 run  数据抓取] 裕安紫竹林2016-03-22:111 [3440]
[ 17:30:21 180.159.97.241 run  数据抓取] 北京八里桥2016-03-22:111 [3440]
[ 17:30:25 180.159.97.241 run  数据抓取] 北京大洋路2016-03-22:111 [3440]
[ 17:30:29 180.159.97.241 run  数据抓取] 北京锦绣大地2016-03-22:111 [3440]
[ 17:30:30 180.159.97.241 run  数据抓取] 北京日上2016-03-22:111 [3440]
[ 17:30:30 180.159.97.241 run  数据抓取] 北京水屯2016-03-22:111 [3440]
[ 17:30:31 180.159.97.241 run  数据抓取] 北京顺鑫石门2016-03-22:111 [3440]
[ 17:30:35 180.159.97.241 run  数据抓取] 北京新发地2016-03-22:111 [3440]
[ 17:30:35 180.159.97.241 run  数据抓取] 北京玉泉路2016-03-22:111 [3440]
[ 17:30:36 180.159.97.241 run  数据抓取] 北京岳各庄2016-03-22:111 [3440]
[ 17:30:40 180.159.97.241 run  数据抓取] 福鼎2016-03-22:111 [3440]
[ 17:30:41 180.159.97.241 run  数据抓取] 福州2016-03-22:111 [3440]
[ 17:30:42 180.159.97.241 run  数据抓取] 福州海峡2016-03-22:111 [3440]
[ 17:30:42 180.159.97.241 run  数据抓取] 龙岩2016-03-22:111 [3440]
[ 17:30:43 180.159.97.241 run  数据抓取] 南平2016-03-22:111 [3440]
[ 17:30:44 180.159.97.241 run  数据抓取] 宁德2016-03-22:111 [3440]
[ 17:30:45 180.159.97.241 run  数据抓取] 莆田2016-03-22:111 [3440]
[ 17:30:46 180.159.97.241 run  数据抓取] 泉州2016-03-22:111 [3440]
[ 17:30:46 180.159.97.241 run  数据抓取] 三明2016-03-22:111 [3440]
[ 17:30:47 180.159.97.241 run  数据抓取] 厦门2016-03-22:111 [3440]
[ 17:30:48 180.159.97.241 run  数据抓取] 同安闽南2016-03-22:111 [3440]
[ 17:30:49 180.159.97.241 run  数据抓取] 漳州2016-03-22:111 [3440]
[ 17:30:50 180.159.97.241 run  数据抓取] 靖远2016-03-22:111 [3440]
[ 17:30:50 180.159.97.241 run  数据抓取] 酒泉春光2016-03-22:111 [3440]
[ 17:30:51 180.159.97.241 run  数据抓取] 兰州大青山2016-03-22:111 [3440]
[ 17:30:52 180.159.97.241 run  数据抓取] 陇西清吉2016-03-22:111 [3440]
[ 17:30:52 180.159.97.241 run  数据抓取] 天水瀛池2016-03-22:111 [3440]
[ 17:30:53 180.159.97.241 run  数据抓取] 武山2016-03-22:111 [3440]
[ 17:30:54 180.159.97.241 run  数据抓取] 东莞大京九2016-03-22:111 [3440]
[ 17:30:54 180.159.97.241 run  数据抓取] 广州江南2016-03-22:111 [3440]
[ 17:30:55 180.159.97.241 run  数据抓取] 惠州农产品物流中心2016-03-22:111 [3440]
[ 17:30:56 180.159.97.241 run  数据抓取] 江门水产2016-03-22:111 [3440]
[ 17:30:57 180.159.97.241 run  数据抓取] 江门水果2016-03-22:111 [3440]
[ 17:30:58 180.159.97.241 run  数据抓取] 汕头2016-03-22:111 [3440]
[ 17:30:58 180.159.97.241 run  数据抓取] 深圳南山批发2016-03-22:111 [3440]
[ 17:30:59 180.159.97.241 run  数据抓取] 南宁五里亭2016-03-22:111 [3440]
[ 17:31:00 180.159.97.241 run  数据抓取] 田阳2016-03-22:111 [3440]
[ 17:31:01 180.159.97.241 run  数据抓取] 玉屏2016-03-22:111 [3440]
[ 17:31:01 180.159.97.241 run  数据抓取] 遵义虾子辣椒2016-03-22:111 [3440]
[ 17:31:02 180.159.97.241 run  数据抓取] 保定批发2016-03-22:111 [3440]
[ 17:31:03 180.159.97.241 run  数据抓取] 沧州红枣2016-03-22:111 [3440]
[ 17:31:04 180.159.97.241 run  数据抓取] 馆陶金凤2016-03-22:111 [3440]
[ 17:31:04 180.159.97.241 run  数据抓取] 怀来京西2016-03-22:111 [3440]
[ 17:31:05 180.159.97.241 run  数据抓取] 乐亭冀东2016-03-22:111 [3440]
[ 17:31:06 180.159.97.241 run  数据抓取] 秦皇岛昌黎批发2016-03-22:111 [3440]
[ 17:31:07 180.159.97.241 run  数据抓取] 秦皇岛海阳2016-03-22:111 [3440]
[ 17:31:07 180.159.97.241 run  数据抓取] 饶阳2016-03-22:111 [3440]
[ 17:31:11 180.159.97.241 run  数据抓取] 三河2016-03-22:111 [3440]
[ 17:31:12 180.159.97.241 run  数据抓取] 石家庄桥西批发2016-03-22:111 [3440]
[ 17:31:13 180.159.97.241 run  数据抓取] 唐山荷花坑2016-03-22:111 [3440]
[ 17:31:13 180.159.97.241 run  数据抓取] 威县瓜菜2016-03-22:111 [3440]
[ 17:31:14 180.159.97.241 run  数据抓取] 魏县天仙2016-03-22:111 [3440]
[ 17:31:15 180.159.97.241 run  数据抓取] 安阳批发2016-03-22:111 [3440]
[ 17:31:16 180.159.97.241 run  数据抓取] 南阳果品2016-03-22:111 [3440]
[ 17:31:17 180.159.97.241 run  数据抓取] 濮阳批发2016-03-22:111 [3440]
[ 17:31:17 180.159.97.241 run  数据抓取] 三门峡原店2016-03-22:111 [3440]
[ 17:31:18 180.159.97.241 run  数据抓取] 商丘批发2016-03-22:111 [3440]
[ 17:31:19 180.159.97.241 run  数据抓取] 信阳豫信花生2016-03-22:111 [3440]
[ 17:31:20 180.159.97.241 run  数据抓取] 郑州毛庄2016-03-22:111 [3440]
[ 17:31:21 180.159.97.241 run  数据抓取] 北安北方商场2016-03-22:111 [3440]
[ 17:31:22 180.159.97.241 run  数据抓取] 大庆九区2016-03-22:111 [3440]
[ 17:31:22 180.159.97.241 run  数据抓取] 抚远同鑫2016-03-22:111 [3440]
[ 17:31:23 180.159.97.241 run  数据抓取] 甘南农贸2016-03-22:111 [3440]
[ 17:31:24 180.159.97.241 run  数据抓取] 哈尔滨哈达2016-03-22:111 [3440]
[ 17:31:25 180.159.97.241 run  数据抓取] 鹤岗工农批发2016-03-22:111 [3440]
[ 17:31:26 180.159.97.241 run  数据抓取] 鹤岗万圃源2016-03-22:111 [3440]
[ 17:31:26 180.159.97.241 run  数据抓取] 呼玛综合2016-03-22:111 [3440]
[ 17:31:27 180.159.97.241 run  数据抓取] 虎林农贸2016-03-22:111 [3440]
[ 17:31:28 180.159.97.241 run  数据抓取] 鸡东世纪村2016-03-22:111 [3440]
[ 17:31:32 180.159.97.241 run  数据抓取] 鸡西南山2016-03-22:111 [3440]
[ 17:31:32 180.159.97.241 run  数据抓取] 佳木斯沿江2016-03-22:111 [3440]
[ 17:31:33 180.159.97.241 run  数据抓取] 萝北中央红大兴超市2016-03-22:111 [3440]
[ 17:31:34 180.159.97.241 run  数据抓取] 漠河北锤2016-03-22:111 [3440]
[ 17:31:35 180.159.97.241 run  数据抓取] 七星街2016-03-22:111 [3440]
[ 17:31:36 180.159.97.241 run  数据抓取] 绥化华辰2016-03-22:111 [3440]
[ 17:31:37 180.159.97.241 run  数据抓取] 泰来综合2016-03-22:111 [3440]
[ 17:31:37 180.159.97.241 run  数据抓取] 望奎华辰2016-03-22:111 [3440]
[ 17:31:38 180.159.97.241 run  数据抓取] 逊克综合大市场2016-03-22:111 [3440]
[ 17:31:39 180.159.97.241 run  数据抓取] 肇州农贸2016-03-22:111 [3440]
[ 17:31:40 180.159.97.241 run  数据抓取] 鄂州蟠龙2016-03-22:111 [3440]
[ 17:31:41 180.159.97.241 run  数据抓取] 洪湖2016-03-22:111 [3440]
[ 17:31:42 180.159.97.241 run  数据抓取] 黄石农产品2016-03-22:111 [3440]
[ 17:31:42 180.159.97.241 run  数据抓取] 十堰堰中2016-03-22:111 [3440]
[ 17:31:43 180.159.97.241 run  数据抓取] 武汉白沙洲2016-03-22:111 [3440]
[ 17:31:44 180.159.97.241 run  数据抓取] 武汉皇经堂2016-03-22:111 [3440]
[ 17:31:45 180.159.97.241 run  数据抓取] 浠水2016-03-22:111 [3440]
[ 17:31:45 180.159.97.241 run  数据抓取] 最新数据2016-03-22，今天没有更新 [3440]
[ 17:31:46 180.159.97.241 run  数据抓取] 襄阳批发2016-03-22:111 [3440]
[ 17:31:46 180.159.97.241 run  数据抓取] 孝感南大2016-03-22:111 [3440]
[ 17:31:47 180.159.97.241 run  数据抓取] 宜昌金桥2016-03-22:111 [3440]
[ 17:31:48 180.159.97.241 run  数据抓取] 长沙马王堆2016-03-22:111 [3440]
[ 17:31:49 180.159.97.241 run  数据抓取] 常德甘露寺2016-03-22:111 [3440]
[ 17:31:49 180.159.97.241 run  数据抓取] 衡阳西园2016-03-22:111 [3440]
[ 17:31:50 180.159.97.241 run  数据抓取] 红星2016-03-22:111 [3440]
[ 17:31:51 180.159.97.241 run  数据抓取] 吉首2016-03-22:111 [3440]
[ 17:31:52 180.159.97.241 run  数据抓取] 益阳团洲2016-03-22:111 [3440]
[ 17:31:53 180.159.97.241 run  数据抓取] 岳阳花板桥2016-03-22:111 [3440]
[ 17:31:53 180.159.97.241 run  数据抓取] 辽源贸发2016-03-22:111 [3440]
[ 17:31:54 180.159.97.241 run  数据抓取] 常州2016-03-22:111 [3440]
[ 17:31:55 180.159.97.241 run  数据抓取] 常州凌家塘2016-03-22:111 [3440]
[ 17:31:56 180.159.97.241 run  数据抓取] 丰县2016-03-22:111 [3440]
[ 17:31:56 180.159.97.241 run  数据抓取] 淮海2016-03-22:111 [3440]
[ 17:31:57 180.159.97.241 run  数据抓取] 建湖水产2016-03-22:111 [3440]
[ 17:31:58 180.159.97.241 run  数据抓取] 南京众彩物流2016-03-22:111 [3440]
[ 17:31:59 180.159.97.241 run  数据抓取] 苏州南环桥2016-03-22:111 [3440]
[ 17:32:00 180.159.97.241 run  数据抓取] 无锡朝阳2016-03-22:111 [3440]
[ 17:32:00 180.159.97.241 run  数据抓取] 无锡天鹏2016-03-22:111 [3440]
[ 17:32:01 180.159.97.241 run  数据抓取] 徐州淮海蔬菜2016-03-22:111 [3440]
[ 17:32:02 180.159.97.241 run  数据抓取] 徐州七里沟2016-03-22:111 [3440]
[ 17:32:03 180.159.97.241 run  数据抓取] 扬州联谊2016-03-22:111 [3440]
[ 17:32:03 180.159.97.241 run  数据抓取] 宜兴2016-03-22:111 [3440]
[ 17:32:04 180.159.97.241 run  数据抓取] 赣州南北2016-03-22:111 [3440]
[ 17:32:05 180.159.97.241 run  数据抓取] 最新数据2016-03-22，今天没有更新 [3440]
[ 17:32:05 180.159.97.241 run  数据抓取] 乐平2016-03-22:111 [3440]
[ 17:32:05 180.159.97.241 run  数据抓取] 南昌农产品2016-03-22:111 [3440]
[ 17:32:06 180.159.97.241 run  数据抓取] 南方粮食2016-03-22:111 [3440]
[ 17:32:07 180.159.97.241 run  数据抓取] 永丰2016-03-22:111 [3440]
[ 17:32:08 180.159.97.241 run  数据抓取] 鞍山宁远2016-03-22:111 [3440]
[ 17:32:08 180.159.97.241 run  数据抓取] 朝阳果菜2016-03-22:111 [3440]
[ 17:32:09 180.159.97.241 run  数据抓取] 大连双兴2016-03-22:111 [3440]
[ 17:32:10 180.159.97.241 run  数据抓取] 阜新蔬菜2016-03-22:111 [3440]
[ 17:32:11 180.159.97.241 run  数据抓取] 包头友谊2016-03-22:111 [3440]
[ 17:32:13 180.159.97.241 run  数据抓取] 赤峰西城2016-03-22:111 [3440]
[ 17:32:14 180.159.97.241 run  数据抓取] 呼和浩特东瓦窑 2016-03-22:111 [3440]
[ 17:32:15 180.159.97.241 run  数据抓取] 呼和浩特美通2016-03-22:111 [3440]
[ 17:32:16 180.159.97.241 run  数据抓取] 吴忠鑫鲜2016-03-22:111 [3440]
[ 17:32:17 180.159.97.241 run  数据抓取] 银川北环2016-03-22:111 [3440]
[ 17:32:17 180.159.97.241 run  数据抓取] 中卫东园2016-03-22:111 [3440]
[ 17:32:18 180.159.97.241 run  数据抓取] 西宁仁杰2016-03-22:111 [3440]
[ 17:32:19 180.159.97.241 run  数据抓取] 滨州六街2016-03-22:111 [3440]
[ 17:32:20 180.159.97.241 run  数据抓取] 苍山鲁南2016-03-22:111 [3440]
[ 17:32:22 180.159.97.241 run  数据抓取] 德州黑马2016-03-22:111 [3440]
[ 17:32:23 180.159.97.241 run  数据抓取] 济南七里堡2016-03-22:111 [3440]
[ 17:32:23 180.159.97.241 run  数据抓取] 临邑2016-03-22:111 [3440]
[ 17:32:24 180.159.97.241 run  数据抓取] 宁津2016-03-22:111 [3440]
[ 17:32:25 180.159.97.241 run  数据抓取] 青岛沧口2016-03-22:111 [3440]
[ 17:32:26 180.159.97.241 run  数据抓取] 青岛城阳批发2016-03-22:111 [3440]
[ 17:32:29 180.159.97.241 run  数据抓取] 青岛东庄头2016-03-22:111 [3440]
[ 17:32:30 180.159.97.241 run  数据抓取] 青岛抚顺路2016-03-22:111 [3440]
[ 17:32:31 180.159.97.241 run  数据抓取] 青岛黄河路2016-03-22:111 [3440]
[ 17:32:32 180.159.97.241 run  数据抓取] 泰安良庄2016-03-22:111 [3440]
[ 17:32:32 180.159.97.241 run  数据抓取] 威海水产品2016-03-22:111 [3440]
[ 17:32:33 180.159.97.241 run  数据抓取] 章丘2016-03-22:111 [3440]
[ 17:32:34 180.159.97.241 run  数据抓取] 淄博批发2016-03-22:111 [3440]
[ 17:32:35 180.159.97.241 run  数据抓取] 长治金鑫瓜果2016-03-22:111 [3440]
[ 17:32:35 180.159.97.241 run  数据抓取] 长治紫坊2016-03-22:111 [3440]
[ 17:32:36 180.159.97.241 run  数据抓取] 大同振华2016-03-22:111 [3440]
[ 17:32:37 180.159.97.241 run  数据抓取] 汾阳晋阳2016-03-22:111 [3440]
